,Date,Time,Type,Stations,Time_code
1,20240701,02:42-02:43,III,Australia-ASSA,['023000']
2,20240701,10:57-11:01,III,"AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, EGYPT-SpaceAgency, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, INDIA-GAURI, MRO, NORWAY-EGERSUND, SPAIN-PERALEJOS, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, USA-BOSTON","['104500', '110000']"
3,20240701,10:58-10:58,III/R,"BIR, GERMANY-DLR, GREENLAND, SWISS-Landschlacht, SWISS-MUHEN, USA-BOSTON",['104500']
4,20240701,13:41-13:42,V,"ALASKA-COHOE, ALASKA-HAARP, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, MEXART, MEXICO-LANCE, MRO, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, USA-BOSTON",['133000']
5,20240702,02:06-02:07,III,Australia-ASSA,['020000']
6,20240702,06:40-06:42,III,"Australia-ASSA, GERMANY-DLR, GLASGOW, HUMAIN, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht",['063000']
7,20240702,12:36-12:42,III,"GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, SWISS-Landschlacht",['123000']
8,20240702,17:57-17:59,III,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXICO-LANCE",['174500']
9,20240703,07:35-07:38,RSP,"GERMANY-DLR, SWISS-HEITERSWIL, SWISS-Landschlacht",['073000']
10,20240703,07:41-08:02,II,"ALMATY, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, Australia-ASSA, BIR, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, INDIA-OOTY, MRO, NORWAY-EGERSUND, (SSRT), (SWISS-HB9SCT), SWISS-HEITERSWIL, SWISS-IRSOL, SWISS-Landschlacht, SWISS-MUHEN, (TAIWAN-NCU), TRIEST, USA-BOSTON","['073000', '074500', '080000']"
11,20240703,10:54-10:57,III,"AUSTRIA-UNIGRAZ, BIR, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, SWISS-HEITERSWIL, SWISS-Landschlacht, (SWISS-MUHEN), USA-BOSTON",['104500']
12,20240703,16:19-16:21,V,"ALASKA-COHOE, ALASKA-HAARP, ALGERIA-CRAAG, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, MEXART, MEXICO-FCFM-UANL, MEXICO-LANCE, MRO, NORWAY-EGERSUND, ROSWELL-NM, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST, USA-BOSTON",['161500']
13,20240703,18:20-18:26,III,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXICO-LANCE",['181500']
14,20240703,20:40-20:44,III,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXICO-LANCE",['203000']
15,20240703,22:19-22:19,III,"ALASKA-COHOE, ALASKA-HAARP",['221500']
16,20240704,03:30-03:33,III,"ALASKA-COHOE, ALASKA-HAARP, GERMANY-DLR, INDIA-OOTY, INDIA-UDAIPUR, MRO, SSRT, TAIWAN-NCU",['033000']
17,20240704,05:07-05:08,III,"ALASKA-COHOE, ALASKA-HAARP, GERMANY-DLR, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MRO, NORWAY-EGERSUND, SWISS-HEITERSWIL",['050000']
18,20240704,06:58-06:59,III,"GERMANY-DLR, INDIA-GAURI, INDIA-UDAIPUR",['064500']
19,20240704,11:05-11:10,III,"GERMANY-DLR, GLASGOW, GREENLAND, (INDIA-GAURI)",['110000']
20,20240704,12:36-12:37,III,"AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, INDIA-UDAIPUR, MEXART, MEXICO-LANCE, MRO, NORWAY-EGERSUND, SWISS-HEITERSWIL, (SWISS-IRSOL), SWISS-Landschlacht, SWISS-MUHEN, TRIEST, USA-BOSTON",['123000']
21,20240704,14:27-14:44,II,"(ALASKA-HAARP), (AUSTRIA-OE3FLB), BIR, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN,  MEXICO-LANCE, MRO, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, USA-BOSTON","['141500', '143000']"
22,20240704,19:56-20:01,III,"ALASKA-ANCHORAGE, ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXICO-LANCE","['194500', '200000']"
23,20240704,20:07-20:27,II,"ALASKA-ANCHORAGE, ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXICO-LANCE","['200000', '201500']"
24,20240705,00:07-00:08,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA",['000000']
25,20240705,06:50-06:50,III,"EGYPT-Alexandria, GERMANY-DLR, HUMAIN, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, NORWAY-EGERSUND, SWISS-Landschlacht",['064500']
26,20240705,07:45-07:46,III,"GERMANY-DLR, INDIA-GAURI, INDIA-UDAIPUR",['074500']
27,20240705,13:07-13:08,III,"(GERMANY-DLR), GLASGOW, GREENLAND",['130000']
28,20240705,15:09-15:10,III,"ALASKA-COHOE, ALASKA-HAARP, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, MEXART, MEXICO-FCFM-UANL, MEXICO-LANCE, NORWAY-EGERSUND, ROSWELL-NM, SPAIN-PERALEJOS, SWISS-HEITERSWIL, (SWISS-IRSOL), SWISS-Landschlacht, SWISS-MUHEN, TRIEST, USA-BOSTON",['150000']
29,20240705,15:29-15:30,III,"BIR, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, SWISS-Landschlacht","['151500', '153000']"
30,20240705,16:26-16:27,III,"ALASKA-COHOE, ALASKA-HAARP, BIR, GERMANY-DLR, GLASGOW, GREENLAND, MEXICO-LANCE, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, USA-BOSTON",['161500']
31,20240705,18:58-18:58,III,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXICO-LANCE",['184500']
32,20240705,19:41-19:42,III,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXICO-LANCE",['193000']
33,20240705,22:08-22:08,III,"ALASKA-COHOE, ALASKA-HAARP, MEXICO-LANCE",['220000']
34,20240706,04:43-04:44,III,"Australia-ASSA, GERMANY-DLR, HUMAIN, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, SSRT",['043000']
35,20240706,07:10-07:11,III,"GERMANY-DLR, HUMAIN, INDIA-OOTY, INDIA-UDAIPUR, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht",['070000']
36,20240706,09:05-09:11,III,"BIR, EGYPT-Alexandria, EGYPT-SpaceAgency, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MRO, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, USA-BOSTON",['090000']
37,20240706,09:23-09:23,III,"BIR, GERMANY-DLR, GLASGOW, GREENLAND, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, USA-BOSTON",['091500']
38,20240706,10:24-10:24,III,"EGYPT-Alexandria, GERMANY-DLR, GLASGOW, GREENLAND, INDIA-GAURI, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, USA-BOSTON",['101500']
39,20240706,11:26-11:26,III,"GERMANY-DLR, GREENLAND, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, USA-BOSTON",['111500']
40,20240706,18:18-18:19,III,"ALASKA-COHOE, ALASKA-HAARP, GLASGOW, GREENLAND, MEXICO-FCFM-UANL, ROSWELL-NM, SWISS-HEITERSWIL, SWISS-Landschlacht",['181500']
41,20240706,19:25-19:25,III,"ALASKA-ANCHORAGE, ALASKA-COHOE, ALASKA-HAARP, GERMANY-DLR, GREENLAND, ROSWELL-NM",['191500']
42,20240707,00:18-00:19,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, TAIWAN-NCU",['001500']
43,20240707,01:47-01:49,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA",['014500']
44,20240707,15:09-15:10,III,"ALASKA-COHOE, ALASKA-HAARP, AUSTRIA-MICHELBACH, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, MEXART, MEXICO-FCFM-UANL, MEXICO-LANCE, MRO, NORWAY-EGERSUND, SPAIN-PERALEJOS, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, USA-BOSTON",['150000']
45,20240707,16:16-16:17,III,"GERMANY-DLR, GLASGOW, GREENLAND, NORWAY-EGERSUND, USA-BOSTON",['161500']
46,20240707,16:32-16:45,VI,"ALASKA-COHOE, ALASKA-HAARP, (BIR), GERMANY-DLR, GLASGOW, GREENLAND, MEXICO-LANCE, NORWAY-EGERSUND","['163000', '164500']"
47,20240707,19:26-19:27,III,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXICO-LANCE",['191500']
48,20240707,21:19-21:20,III,"ALASKA-COHOE, ALASKA-HAARP, MEXICO-LANCE",['211500']
49,20240707,22:14-22:27,VI,"ALASKA-COHOE, ALASKA-HAARP, MEXART, MEXICO-FCFM-UANL, MEXICO-LANCE, ROSWELL-NM, TAIWAN-NCU","['220000', '221500']"
50,20240707,22:47-22:53,III,"ALASKA-COHOE, ALASKA-HAARP, MEXICO-LANCE, TAIWAN-NCU",['224500']
51,20240707,23:22-23:57,VI,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXICO-LANCE, TAIWAN-NCU","['231500', '233000', '234500']"
52,20240708,00:04-00:04,III,"ALASKA-COHOE, ALASKA-HAARP, KASI, MEXART, MEXICO-FCFM-UANL, (MONGOLIA-UB), Malaysia-Banting, SSRT",['000000']
53,20240708,01:21-01:21,RSP,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA",['011500']
54,20240708,07:50-07:55,III,"GERMANY-DLR, HUMAIN, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MRO, SWISS-Landschlacht",['074500']
55,20240708,11:09-11:33,VI,"AUSTRIA-MICHELBACH, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, EGYPT-SpaceAgency, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, HURBANOVO, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, ITALY-Strassolt, MEXART, (MEXICO-FCFM-UAN), MEXICO-LANCE, MRO, NORWAY-EGERSUND, ROSWELL-NM, SPAIN-PERALEJOS, SWISS-HB9SCT, SWISS-HEITERSWIL, SWISS-IRSOL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST, USA-BOSTON","['110000', '111500', '113000']"
56,20240708,13:32-13:39,III,"AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, GLASGOW, GREENLAND, HUMAIN, ITALY-Strassolt, MEXART, (MEXICO-FCFM-UAN), MRO, NORWAY-EGERSUND, SPAIN-PERALEJOS, SWISS-HEITERSWIL, SWISS-IRSOL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST, USA-BOSTON",['133000']
57,20240708,14:40-14:47,III,"ALASKA-ANCHORAGE, ALASKA-COHOE, ALASKA-HAARP, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, (FINLAND-Siuntio), GLASGOW, GREENLAND, HUMAIN, HURBANOVO, ITALY-Strassolt, MEXART, MEXICO-FCFM-UANL, MEXICO-LANCE, MRO, NORWAY-EGERSUND, ROSWELL-NM, SPAIN-PERALEJOS, SWISS-HEITERSWIL, SWISS-IRSOL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST, USA-BOSTON","['143000', '144500']"
58,20240708,17:38-17:42,III,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND",['173000']
59,20240708,18:54-19:03,III,"(ALASKA-COHOE), ALASKA-HAARP, GREENLAND, (MEXICO-LANCE)","['184500', '190000']"
60,20240708,21:55-21:56,III,"ALASKA-ANCHORAGE, ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXICO-LANCE, ROSWELL-NM",['214500']
61,20240709,03:03-03:09,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, KASI, MONGOLIA-UB, MRO, (Malaysia-Banting), (NORWAY-EGERSUND), SSRT",['030000']
62,20240709,13:31-13:31,III,"GERMANY-DLR, GLASGOW, GREENLAND",['133000']
63,20240709,15:31-15:31,III,"AUSTRIA-MICHELBACH, GERMANY-DLR, HUMAIN, MRO",['153000']
64,20240709,17:06-17:07,III,SWISS-Landschlacht,['170000']
66,20240711,06:46-06:46,III,"INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR",['064500']
67,20240711,11:36-11:37,III,(GERMANY-DLR),['113000']
68,20240711,12:05-17:05,VI,"(GERMANY-DLR), (GREENLAND)","['120000', '121500', '123000', '124500', '130000', '131500', '133000', '134500', '140000', '141500', '143000', '144500', '150000', '151500', '153000', '154500', '160000', '161500', '163000', '164500', '170000']"
69,20240711,16:06-16:07,III,"GERMANY-DLR, GREENLAND, HUMAIN, SWISS-Landschlacht",['160000']
70,20240711,18:29-18:30,III,MEXICO-LANCE,"['181500', '183000']"
71,20240711,20:47-23:58,VI,"(ALASKA-COHOE), (ALASKA-HAARP)","['204500', '210000', '211500', '213000', '214500', '220000', '221500', '223000', '224500', '230000', '231500', '233000', '234500']"
72,20240712,00:35-00:36,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, KASI",['003000']
73,20240712,12:42-12:42,III,"BIR, EGYPT-Alexandria, GERMANY-DLR, GREENLAND, HUMAIN, MRO, MEXART, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, USA-BOSTON",['123000']
74,20240712,17:38-17:39,RSP,"AUSTRIA-MICHELBACH, GERMANY-DLR, FINLAND-Siuntio, MEXART, MEXICO-FCFM-UAN, ROSWELL-NM, SWISS-Landschlacht, USA-BOSTON",['173000']
75,20240713,02:35-02:35,III,"(ALASKA-COHOE), ALASKA-HAARP, Australia-ASSA, INDIA-GAURI, ",['023000']
76,20240713,03:59-03:59,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, (GERMANY-DLR), INDIA-GAURI, INDIA-OOTY, (MRO), (NORWAY-EGERSUND), SSRT, (USA-BOSTON)",['034500']
77,20240713,05:27-05:28,III,"(HUMAIN), INDIA-GAURI, INDIA-OOTY, SSRT",['051500']
78,20240713,08:11-08:12,RSP,"ALMATY, AUSTRIA-MICHELBACH, EGYPT-SpaceAgency, GERMANY-DLR, HUMAIN, Malaysia-Banting, SSRT",['080000']
79,20240713,08:53-08:55,III,"AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, GERMANY-DLR, GREENLAND, HUMAIN, INDIA-GAURI, INDIA-OOTY, MRO, SWISS-HEITERSWIL, SWISS-Landschlacht, (SWISS-MUHEN)",['084500']
80,20240713,10:40-10:40,III,"ALMATY, EGYPT-Alexandria, EGYPT-SpaceAgency, (GERMANY-DLR), GREENLAND, HUMAIN, HURBANOVO, INDIA-GAURI, INDIA-OOTY, SWISS-CalU, SWISS-Landschlacht",['103000']
81,20240713,12:32-12:40,DCIM,GERMANY-DLR,['123000']
82,20240713,12:42-12:51,II,"GERMANY-DLR, GREENLAND, HUMAIN, (NORWAY-EGERSUND), (SWISS-Landschlacht)","['123000', '124500']"
83,20240713,13:04-13:07,III,"GERMANY-DLR, GREENLAND, HUMAIN, MEXART, SWISS-HEITERSWIL, (SWISS-Landschlacht)",['130000']
84,20240713,18:24-18:24,III,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXICO-LANCE",['181500']
85,20240713,18:49-18:49,III,MEXICO-LANCE,['184500']
86,20240713,20:22-20:33,VI,"(ALASKA-COHOE), (ALASKA-HAARP), MEXICO-LANCE, MEXICO-FCFM-UANL","['201500', '203000']"
87,20240713,22:41-22:42,III,MEXICO-FCFM-UANL,['223000']
88,20240714,00:45-00:46,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXART, MEXICO-LANCE, TAIWAN-NCU",['004500']
89,20240714,01:05-01:13,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, TAIWAN-NCU",['010000']
90,20240714,02:32-02:33,III,"ALASKA-COHOE, ALASKA-HAARP, ALMATY, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, SSRT",['023000']
91,20240714,03:28-03:28,III,"ALASKA-COHOE, ALASKA-HAARP, ALMATY, INDIA-OOTY",['031500']
92,20240714,04:05-04:10,III,"ALASKA-COHOE, ALASKA-HAARP, ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, FINLAND-Siuntio, GERMANY-DLR, INDIA-GAURI, INDIA-OOTY, KASI, MRO, Malaysia-Banting, NORWAY-EGERSUND, SSRT",['040000']
93,20240714,05:39-05:42,III,"ALMATY, AUSTRIA-MICHELBACH, Australia-ASSA, (GERMANY-DLR), KASI, Malaysia-Banting",['053000']
94,20240714,08:09-08:12,III,"HUMAIN, INDIA-GAURI, INDIA-OOTY, MRO, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht",['080000']
95,20240714,08:22-08:23,III,"ALMATY, GERMANY-DLR, NORWAY-EGERSUND",['081500']
96,20240714,09:40-09:44,III,"GERMANY-DLR, GREENLAND, INDIA-GAURI",['093000']
97,20240714,11:17-11:18,III,"GERMANY-DLR, GREENLAND, HUMAIN, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, (USA-BOSTON)",['111500']
98,20240714,12:03-12:49,VI,"GERMANY-DLR, GREENLAND","['120000', '121500', '123000', '124500']"
99,20240714,17:34-17:35,III,"ALGERIA-CRAAG, GERMANY-DLR, GREENLAND, MEXICO-FCFM-UANL, MEXICO-LANCE, SWISS-Landschlacht",['173000']
100,20240714,18:00-18:00,III,"AUSTRIA-MICHELBACH, GERMANY-DLR, MEXART, MEXICO-FCFM-UANL, (MEXICO-LANCE), MRO, ROSWELL-NM, SWISS-Landschlacht, USA-BOSTON",['180000']
101,20240714,21:05-21:06,III,"(ALASKA-HAARP), GREENLAND",['210000']
102,20240714,21:34-21:34,III,"ALASKA-COHOE, ALASKA-HAARP",['213000']
103,20240714,21:49-21:50,III,"ALASKA-COHOE, ALASKA-HAARP",['214500']
