,Date,Time,Type,Stations,Time_code
0,20240301,06:03-06:04,III,"AUSTRIA-UNIGRAZ, Australia-ASSA, EGYPT-Alexandria, GERMANY-DLR, HUMAIN, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, NORWAY-EGERSUND, SSRT, SWISS-Landschlacht, TRIEST",['060000']
1,20240301,08:08-08:09,III,"AUSTRIA-UNIGRAZ, EGYPT-Alexandria, GERMANY-DLR, HUMAIN, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, NORWAY-EGERSUND, SWISS-Landschlacht, TRIEST",['080000']
2,20240301,12:16-12:17,III,"BIR, GERMANY-DLR, GLASGOW, HUMAIN, NORWAY-EGERSUND, SWISS-Landschlacht",['121500']
3,20240301,13:02-13:03,III,"BIR, GERMANY-DLR, GLASGOW, HUMAIN, (NORWAY-EGERSUND), SWISS-Landschlacht",['130000']
4,20240301,14:36-14:37,III,"BIR, (GERMANY-DLR), GLASGOW, GREENLAND, HUMAIN, MEXICO-LANCE",['143000']
5,20240301,20:29-20:30,III,"ALASKA-COHOE, ALASKA-HAARP, MEXICO-LANCE, USA-ARIZONA-ERAU","['201500', '203000']"
6,20240302,08:57-08:57,III,"GERMANY-DLR, (HUMAIN)",['084500']
7,20240302,22:52-22:52,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXICO-LANCE",['224500']
8,20240302,23:47-23:47,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXICO-LANCE",['234500']
9,20240303,03:20-03:20,III,"Australia-ASSA, INDIA-UDAIPUR",['031500']
10,20240303,14:28-14:28,RBR,GERMANY-DLR,['141500']
11,20240303,21:52-21:52,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA",['214500']
12,20240304,02:30-02:40,VI,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY, SSRT",['023000']
13,20240304,06:53-06:54,III,"INDIA-GAURI, INDIA-OOTY, Malaysia-Banting, SSRT",['064500']
14,20240304,08:17-08:17,RBR,"GERMANY-DLR, HUMAIN, INDIA-GAURI, INDIA-OOTY, NORWAY-EGERSUND",['081500']
15,20240304,10:05-10:06,III,"AUSTRIA-UNIGRAZ, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, NORWAY-EGERSUND, SWISS-Landschlacht, TRIEST",['100000']
16,20240304,11:52-11:55,III,"GLASGOW, INDIA-OOTY, SWISS-Landschlacht",['114500']
17,20240304,14:27-14:27,III,"GLASGOW, GREENLAND, HUMAIN",['141500']
18,20240304,15:39-15:39,III,"GLASGOW, GREENLAND, HUMAIN",['153000']
19,20240304,16:18-16:18,III,"GLASGOW, GREENLAND, HUMAIN",['161500']
20,20240304,23:42-23:44,III,Australia-ASSA,['233000']
21,20240305,02:16-02:24,III,Australia-ASSA,['021500']
22,20240305,10:37-10:38,III,"AUSTRIA-UNIGRAZ, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, SWISS-Landschlacht, TRIEST",['103000']
23,20240305,13:34-13:35,III,"GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, NORWAY-EGERSUND, (TRIEST)",['133000']
24,20240305,22:28-22:28,V,MEXART,['221500']
25,20240305,23:46-23:49,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXART, MEXICO-FCFM-UANL, MEXICO-LANCE, Malaysia-Banting",['234500']
26,20240306,00:00-00:01,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXART",['000000']
27,20240306,02:07-02:09,III,Australia-ASSA,['020000']
28,20240306,03:33-03:45,II,"ALMATY, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, SSRT","['033000', '034500']"
29,20240306,08:10-08:10,III,GERMANY-DLR,['080000']
30,20240306,10:24-10:29,II,"(GLASGOW), (HUMAIN), (INDIA-GAURI), NORWAY-EGERSUND",['101500']
31,20240306,13:02-13:28,VI,"ALGERIA-CRAAG, AUSTRIA-UNIGRAZ, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, NORWAY-EGERSUND, SWISS-Landschlacht, TRIEST","['130000', '131500']"
32,20240306,14:10-14:13,III,"ALGERIA-CRAAG, AUSTRIA-UNIGRAZ, EGYPT-Alexandria, FINLAND-Siuntio, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, (HURBANOVO), MEXART, (MEXICO-FCFM-UANL), MEXICO-LANCE, MRO, NORWAY-EGERSUND, SPAIN-PERALEJOS, SWISS-Landschlacht, SWISS-MUHEN, TRIEST",['140000']
33,20240307,05:07-05:09,III,"ALMATY, Australia-ASSA, EGYPT-Alexandria, INDIA-GAURI, INDIA-UDAIPUR, SSRT",['050000']
34,20240307,05:59-06:00,III,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, (SSRT)","['054500', '060000']"
35,20240307,09:57-09:58,III,"AUSTRIA-UNIGRAZ, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, SOUTHAFRICA-SANSA, SWISS-Landschlacht, TRIEST",['094500']
36,20240307,12:40-12:41,RBR,"AUSTRIA-UNIGRAZ, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, NORWAY-EGERSUND, SWISS-Landschlacht, TRIEST",['123000']
37,20240307,22:25-22:45,II,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, (MEXICO-LANCE)","['221500', '223000', '224500']"
38,20240308,03:36-03:38,III,"ALMATY, Australia-ASSA, INDIA-OOTY, SSRT",['033000']
39,20240308,03:40-03:52,II,"ALMATY, Australia-ASSA, INDIA-OOTY, SSRT","['033000', '034500']"
40,20240308,11:45-11:47,RBR,"GLASGOW, (HUMAIN)",['114500']
41,20240308,23:51-23:51,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXART, MEXICO-LANCE",['234500']
42,20240309,00:59-00:59,III,Australia-ASSA,['004500']
43,20240309,12:18-12:18,III,"BIR, GERMANY-DLR, GLASGOW, GREENLAND",['121500']
44,20240310,11:06-11:13,II,"GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR",['110000']
45,20240310,12:08-12:14,V,"ALGERIA-CRAAG, AUSTRIA-Krumbach, AUSTRIA-MICHELBACH, (AUSTRIA-OE3FLB), AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, EGYPT-SpaceAgency, FINLAND-Siunti, Finland-Kempel, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, HURBANOVO, INDIA-OOTY, INDIA-UDAIPUR, MRO, NORWAY-EGERSUND, ROMANIA, RWANDA, SOUTHAFRICA-SANSA, SPAIN-PERALEJOS, SPAIN-SIGUENZA, SWISS-HB9SCT, SWISS-IRSOL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST",['120000']
46,20240310,12:10-12:33,II,"ALGERIA-CRAAG, AUSTRIA-Krumbach, AUSTRIA-MICHELBACH, (AUSCO-LANCE","['120000', '121500', '123000']"
47,20240314,02:11-02:11,III,Australia-ASSA,['020000']
