,Date,Time,Type,Stations,Time_code
1,20241201,02:36-02:37,III,"Australia-ASSA, INDIA-GAURI",['023000']
2,20241201,10:12-10:12,III,"AUSTRIA-UNIGRAZ, (BIR), EGYPT-Alexandria, GERMANY-DLR, GERMANY-ESSEN, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, NORWAY-EGERSUND, SRI-Lanka, SWISS-IRSOL, SWISS-Landschlacht, TRIEST",['100000']
3,20241201,12:38-12:39,III,"AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, GERMANY-DLR, GERMANY-ESSEN, GLASGOW, HUMAIN, NORWAY-EGERSUND, SWISS-CalU, SWISS-Landschlacht, TRIEST, USA-BOSTON",['123000']
4,20241201,16:23-16:24,III,"MEXART, MEXICO-FCFM-UNACH, MEXICO-LANCE",['161500']
5,20241202,00:56-01:21,III,"Australia-ASSA, Malaysia-Banting","['004500', '010000', '011500']"
6,20241202,01:39-01:41,III,"Australia-ASSA, INDIA-OOTY, MONGOLIA-UB, Malaysia-Banting, SSRT, TAIWAN-NCU",['013000']
7,20241202,02:01-02:02,III,"Australia-ASSA, MONGOLIA-UB, SSRT, TAIWAN-NCU",['020000']
8,20241202,02:42-11:28,CTM,INDIA-GAURI,"['023000', '024500', '030000', '031500', '033000', '034500', '040000', '041500', '043000', '044500', '050000', '051500', '053000', '054500', '060000', '061500', '063000', '064500', '070000', '071500', '073000', '074500', '080000', '081500', '083000', '084500', '090000', '091500', '093000', '094500', '100000', '101500', '103000', '104500', '110000', '111500']"
9,20241202,03:25-04:09,VI,"Australia-ASSA, INDIA-OOTY, INDIA-UDAIPUR, MONGOLIA-UB, TAIWAN-NCU","['031500', '033000', '034500', '040000']"
10,20241202,04:49-04:49,RSP,"ALMATY, Australia-ASSA, EGYPT-SpaceAgency, INDIA-UDAIPUR, KASI, Malaysia-Banting, SSRT, UZBEKISTAN",['044500']
11,20241202,10:04-15:00,CTM,GLASGOW,"['100000', '101500', '103000', '104500', '110000', '111500', '113000', '114500', '120000', '121500', '123000', '124500', '130000', '131500', '133000', '134500', '140000', '141500', '143000', '144500', '150000']"
12,20241202,10:45-10:52,CAU,NORWAY-EGERSUND,['104500']
13,20241202,14:36-14:43,CAU,GLASGOW,['143000']
14,20241202,16:15-16:21,CAU,GREENLAND,['161500']
15,20241202,16:25-16:27,III,"MEXICO-FCFM-UNACH, MEXICO-LANCE",['161500']
16,20241202,21:24-23:59,VI,Australia-ASSA,"['211500', '213000', '214500', '220000', '221500', '223000', '224500', '230000', '231500', '233000', '234500']"
17,20241203,00:00-06:55,VI,Australia-ASSA,"['000000', '001500', '003000', '004500', '010000', '011500', '013000', '014500', '020000', '021500', '023000', '024500', '030000', '031500', '033000', '034500', '040000', '041500', '043000', '044500', '050000', '051500', '053000', '054500', '060000', '061500', '063000', '064500']"
18,20241203,14:08-14:08,RSP,"GLASGOW, HUMAIN",['140000']
19,20241204,01:09-01:10,III,Australia-ASSA,['010000']
20,20241204,03:25-03:27,III,"Australia-ASSA, (EGYPT-SpaceAgency)",['031500']
21,20241204,10:04-10:12,II,"ALGERIA-CRAAG, AUSTRIA-Krumbach, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, (BIR), EGYPT-Alexandria, EGYPT-SpaceAgency, FINLAND-Siuntio, GERMANY-DLR, GLASGOW, HUMAIN, HURBANOVO, INDIA-OOTY, INDIA-UDAIPUR, (MRO), (MRT1), (Malaysia-Banting), (ROMANIA), SPAIN-PERALEJOS, SWISS-CalU, (TRIEST), USA-BOSTON",['100000']
22,20241204,10:48-10:51,III,GLASGOW,['104500']
23,20241204,12:20-12:20,III,"AUSTRIA-UNIGRAZ, BIR, GLASGOW, HUMAIN, TRIEST",['121500']
24,20241204,13:10-13:12,RSP,"GLASGOW, HUMAIN",['130000']
25,20241204,22:15-22:17,III,Australia-ASSA,['221500']
26,20241205,00:38-00:38,III,Australia-ASSA,['003000']
27,20241205,01:14-01:14,III,Australia-ASSA,['010000']
28,20241205,04:53-04:54,III,"Australia-ASSA, INDIA-OOTY, SSRT",['044500']
29,20241205,07:33-07:35,III,"AUSTRIA-MICHELBACH, (HUMAIN), SWISS-Landschlacht",['073000']
30,20241205,09:52-09:53,III,"AUSTRIA-UNIGRAZ, (BIR), EGYPT-Alexandria, GERMANY-DLR, GLASGOW, (HUMAIN), INDIA-OOTY, (INDIA-UDAIPUR), SWISS-CalU, SWISS-Landschlacht, TRIEST",['094500']
31,20241205,10:36-10:38,III,"ALGERIA-CRAAG, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, FINLAND-Siuntio, GERMANY-DLR, GERMANY-ESSEN, GLASGOW, HUMAIN, HURBANOVO, INDIA-OOTY, INDIA-UDAIPUR, MRO, (MRT1), (ROMANIA), SWISS-CalU, SWISS-Landschlacht, TRIEST, (USA-BOSTON), UZBEKISTAN",['103000']
32,20241205,10:41-10:56,II,"(BIR), (FINLAND-Siuntio), GERMANY-DLR, GLASGOW, HUMAIN, INDIA-OOTY, INDIA-UDAIPUR, SWISS-CalU, SWISS-Landschlacht","['103000', '104500']"
33,20241205,12:03-12:04,III,"GLASGOW, HUMAIN",['120000']
34,20241205,17:35-17:35,III,"MEXICO-FCFM-UNACH, MEXICO-LANCE",['173000']
35,20241205,20:31-20:32,III,"MEXICO-FCFM-UNACH, MEXICO-LANCE",['203000']
36,20241206,00:38-01:34,VI,Australia-ASSA,"['003000', '004500', '010000', '011500', '013000']"
37,20241206,02:47-03:05,VI,"Australia-ASSA, SSRT","['024500', '030000']"
38,20241206,07:15-07:16,III,"Australia-ASSA, INDIA-OOTY, TAIWAN-NCU",['071500']
39,20241206,09:40-09:41,III,"GERMANY-DLR, GLASGOW, HUMAIN, SWISS-CalU, TRIEST",['093000']
40,20241206,17:36-17:36,III,"MEXICO-FCFM-UNACH, MEXICO-LANCE",['173000']
41,20241206,18:47-18:47,III,"MEXICO-FCFM-UNACH, MEXICO-LANCE",['184500']
42,20241206,22:55-22:55,III,Australia-ASSA,['224500']
43,20241207,01:16-01:16,III,Australia-ASSA,['011500']
44,20241207,07:48-07:49,III,"ALMATY, AUSTRIA-MICHELBACH, AUSTRIA-UNIGRAZ, Australia-ASSA, EGYPT-SpaceAgency, GERMANY-DLR, HUMAIN, HURBANOVO, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, (ROMANIA), SSRT, TRIEST, UZBEKISTAN",['074500']
45,20241207,08:57-08:58,III,"AUSTRIA-UNIGRAZ, (Australia-ASSA), GERMANY-DLR,  GERMANY-ESSEN, HUMAIN, INDIA-GAURI, INDIA-OOTY, TRIEST",['084500']
46,20241207,10:28-10:29,III,"AUSTRIA-Krumbach, AUSTRIA-MICHELBACH, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, EGYPT-SpaceAgency, FINLAND-Siuntio, GERMANY-DLR, HUMAIN, HURBANOVO, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MRO, Malaysia-Banting, ROMANIA, SWISS-Landschlacht, TRIEST, USA-BOSTON, UZBEKISTAN",['101500']
47,20241207,10:50-10:50,III,"GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, NORWAY-EGERSUND, SWISS-CalU, SWISS-Landschlacht, TRIEST",['104500']
48,20241207,14:39-14:59,VI,HUMAIN,"['143000', '144500']"
49,20241207,20:38-20:38,III,"MEXICO-FCFM-UNACH, MEXICO-LANCE, ROSWELL-NM",['203000']
50,20241208,03:17-04:37,VI,"Australia-ASSA, INDIA-GAURI","['031500', '033000', '034500', '040000', '041500', '043000']"
51,20241208,09:04-09:08,DCIM,"GERMANY-DLR, SWISS-HB9SCT, USA-BOSTON",['090000']
52,20241208,09:04-09:10,III,"ALGERIA-CRAAG, ALMATY, AUSTRIA-Krumbach, AUSTRIA-MICHELBACH, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, Australia-ASSA, EGYPT-Alexandria, EGYPT-SpaceAgency, FINLAND-Siuntio, GERMANY-DLR, GERMANY-ESSEN, GLASGOW, HUMAIN, HURBANOVO, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MRO, Malaysia-Banting, NORWAY-EGERSUND, ROMANIA, RWANDA, SRI-Lanka, SWISS-CalU, SWISS-IRSOL, SWISS-Landschlacht, TRIEST, USA-BOSTON, UZBEKISTAN",['090000']
53,20241208,09:04-09:23,II,"ALGERIA-CRAAG, ALMATY, AUSTRIA-Krumbach, AUSTRIA-MICHELBACH, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, Australia-ASSA, (BIR), EGYPT-Alexandria, EGYPT-SpaceAgency, FINLAND-Siuntio, GERMANY-DLR, GERMANY-ESSEN, GLASGOW, HUMAIN, HURBANOVO, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MRO, Malaysia-Banting, NORWAY-EGERSUND, ROMANIA, RWANDA, SRI-Lanka, SWISS-CalU, SWISS-IRSOL, SWISS-Landschlacht, TRIEST, USA-BOSTON, UZBEKISTAN","['090000', '091500']"
54,20241208,10:01-10:04,III,"AUSTRIA-UNIGRAZ, GLASGOW, INDIA-GAURI",['100000']
55,20241208,10:48-10:50,III,"AUSTRIA-UNIGRAZ, EGYPT-SpaceAgency, GERMANY-DLR, (GLASGOW), HUMAIN, INDIA-GAURI, INDIA-OOTY, ROMANIA, SWISS-CalU, SWISS-Landschlacht, TRIEST",['104500']
56,20241208,14:01-14:02,III,"GLASGOW, HUMAIN, MEXICO-FCFM-UNACH, TRIEST",['140000']
57,20241208,16:08-16:10,III,"GREENLAND, (MEXART), MEXICO-FCFM-UANL, MEXICO-FCFM-UNACH, MEXICO-LANCE",['160000']
58,20241208,16:42-18:27,VI,"MEXICO-FCFM-UNACH, (MEXICO-LANCE)","['163000', '164500', '170000', '171500', '173000', '174500', '180000', '181500']"
59,20241208,20:25-20:25,III,"Australia-ASSA, MEXICO-FCFM-UNACH, MEXICO-LANCE",['201500']
60,20241208,22:34-22:35,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXART, MEXICO-FCFM-UANL, MEXICO-FCFM-UNACH, MEXICO-LANCE",['223000']
61,20241209,00:51-00:58,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXART, MONGOLIA-UB, Malaysia-Banting, TAIWAN-NCU",['004500']
62,20241209,04:00-04:01,III,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY, MONGOLIA-UB, SSRT, TAIWAN-NCU",['040000']
63,20241209,04:47-04:49,III,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY, SSRT",['044500']
64,20241209,05:44-05:51,III,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY, MONGOLIA-UB","['053000', '054500']"
65,20241209,12:44-12:47,VI,"ALGERIA-CRAAG, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, GERMANY-DLR, GERMANY-ESSEN, GLASGOW, HUMAIN, NORWAY-EGERSUND, SWISS-CalU, SWISS-Landschlacht, TRIEST","['123000', '124500']"
