,Date,Time,Type,Stations,Time_code
0,20240901,00:54-00:54,III,"Australia-ASSA, *",['004500']
1,20240901,05:42-05:42,III,"INDIA-GAURI, *",['053000']
2,20240901,12:33-13:02,CTM,"GLASGOW, *","['123000', '124500', '130000']"
3,20240901,13:08-13:09,III,"GREENLAND, *",['130000']
4,20240901,15:50-15:55,III,"GERMANY-DLR, *",['154500']
5,20240901,17:26-17:28,III,"MEXICO-LANCE, *",['171500']
6,20240902,00:03-00:04,III,"ALASKA-COHOE, *",['000000']
7,20240902,03:06-03:11,III,"INDIA-OOTY, *",['030000']
8,20240902,03:29-03:37,III,"INDIA-UDAIPUR, *","['031500', '033000']"
9,20240902,11:55-11:58,III,"GREENLAND, *",['114500']
10,20240902,12:50-13:25,VI,"GLASGOW, *","['124500', '130000', '131500']"
11,20240902,17:11-17:12,III,"ALASKA-COHOE, ALASKA-HAARP, GERMANY-DLR, GLASGOW, GREENLAND, MEXICO-LANCE, USA-BOSTON",['170000']
12,20240902,19:26-19:28,V,"ALASKA-ANCHORAGE, ALASKA-COHOE, ALASKA-HAARP, (BIR), GREENLAND, MEXART, MEXICO-FCFM-UANL, MEXICO-LANCE, ROSWELL-NM",['191500']
13,20240902,22:03-22:17,VI,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA","['220000', '221500']"
14,20240902,23:27-23:46,VI,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXART, MEXICO-LANCE","['231500', '233000', '234500']"
15,20240903,01:42-01:56,VI,"ALASKA-ANCHORAGE, ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, INDIA-OOTY, INDIA-UDAIPUR, SSRT, TAIWAN-NCU, UZBEKISTAN","['013000', '014500']"
16,20240903,05:41-05:43,III,"ALMATY, Australia-ASSA, EGYPT-Alexandria, GERMANY-DLR, HUMAIN, INDIA-OOTY, INDIA-UDAIPUR, MRO, SSRT, SWISS-HEITERSWIL, SWISS-Landschlacht, UZBEKISTAN",['053000']
17,20240903,07:21-07:22,RSP,"GERMANY-DLR, SWISS-Landschlacht",['071500']
18,20240903,08:34-08:37,RSP,"GERMANY-DLR, GLASGOW, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN",['083000']
19,20240903,09:22-09:22,III,"GERMANY-DLR, GLASGOW, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST",['091500']
20,20240903,12:15-12:25,VI,"ALGERIA-CRAAG, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, INDIA-UDAIPUR, MRO, NORWAY-EGERSUND, (RWANDA), SWISS-HEITERSWIL, SWISS-IRSOL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST, USA-BOSTON, UZBEKISTAN",['121500']
21,20240903,15:41-16:16,VI,"GLASGOW, *","['153000', '154500', '160000', '161500']"
22,20240903,17:47-17:52,III,"ALASKA-COHOE, ALASKA-HAARP",['174500']
23,20240904,02:50-02:51,DCIM,"ALMATY, Australia-ASSA, INDIA-GAURI, KASI, Malaysia-Banting, UZBEKISTAN",['024500']
24,20240904,10:09-10:10,III,"GERMANY-DLR, GLASGOW, INDIA-GAURI, SWISS-HEITERSWIL, SWISS-Landschlacht, TRIEST, USA-BOSTON",['100000']
25,20240904,10:43-10:44,III,"GERMANY-DLR, GLASGOW, INDIA-GAURI, SWISS-HEITERSWIL, SWISS-Landschlacht, USA-BOSTON",['103000']
26,20240904,12:07-12:08,III,"GERMANY-DLR, GLASGOW, GREENLAND, MEXICO-LANCE, SWISS-Landschlacht, USA-BOSTON",['120000']
27,20240905,06:47-07:51,RSP,UZBEKISTAN,"['064500', '070000', '071500', '073000', '074500']"
28,20240905,08:41-09:01,VI,"ALMATY, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MRO, SWISS-HEITERSWIL, SWISS-Landschlacht, TAIWAN-NCU, UZBEKISTAN","['083000', '084500', '090000']"
29,20240905,10:33-10:34,III,"AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, INDIA-GAURI, INDIA-UDAIPUR, MRO, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST, USA-BOSTON",['103000']
30,20240905,12:01-12:15,VI,"AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, INDIA-UDAIPUR, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST, USA-BOSTON","['120000', '121500']"
