,Date,Time,Type,Stations,Time_code
1,20241101,09:40-12:26,CTM,"HUMAIN, *","['093000', '094500', '100000', '101500', '103000', '104500', '110000', '111500', '113000', '114500', '120000', '121500']"
2,20241101,11:00-11:22,CAU,"GERMANY-DLR, GLASGOW","['110000', '111500']"
3,20241101,18:09-18:09,III,MEXICO-FCFM-UNACH,['180000']
4,20241101,20:13-20:13,III,MEXICO-FCFM-UNACH,['200000']
5,20241102,01:10-01:11,III,Australia-ASSA,['010000']
6,20241102,02:48-02:48,III,"Australia-ASSA, KASI, Malaysia-Banting, SSRT, UZBEKISTAN",['024500']
7,20241102,05:23-05:31,III,"Australia-ASSA, SSRT","['051500', '053000']"
8,20241102,09:01-13:27,CTM,"GLASGOW, NORWAY-EGERSUND","['090000', '091500', '093000', '094500', '100000', '101500', '103000', '104500', '110000', '111500', '113000', '114500', '120000', '121500', '123000', '124500', '130000', '131500']"
9,20241102,09:33-09:43,VI,"GERMANY-DLR, GERMANY-ESSEN, GLASGOW, HUMAIN, INDIA-OOTY, NORWAY-EGERSUND, SWISS-CalU, SWISS-HEITERSWIL, SWISS-Landschlacht, TRIEST, (UZBEKISTAN)",['093000']
10,20241102,10:33-10:43,CAU,NORWAY-EGERSUND,['103000']
11,20241102,14:37-14:37,III,"HUMAIN, MEXICO-FCFM-UNACH, (MEXICO-LANCE)",['143000']
12,20241102,18:25-18:44,VI,MEXICO-FCFM-UNACH,"['181500', '183000']"
13,20241102,21:34-21:37,III,"ALASKA-COHOE, ALASKA-HAARP, MEXICO-FCFM-UNACH, MEXICO-LANCE",['213000']
14,20241103,00:19-00:20,III,Australia-ASSA,['001500']
15,20241103,00:57-00:58,III,"Australia-ASSA, TAIWAN-NCU",['004500']
16,20241103,01:10-01:13,III,Australia-ASSA,['010000']
17,20241103,02:22-02:23,III,Australia-ASSA,['021500']
18,20241103,03:12-03:15,III,"Australia-ASSA, INDIA-OOTY, INDONESIA, Malaysia-Banting, SRI-Lanka, SSRT, UZBEKISTAN","['030000', '031500']"
19,20241103,05:01-05:07,III,"Australia-ASSA, INDIA-OOTY, SSRT",['050000']
20,20241103,11:12-11:20,III,"ALGERIA-CRAAG, AUSTRIA-UNIGRAZ, EGYPT-Alexandria, EGYPT-SpaceAgency, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-OOTY, NORWAY-EGERSUND, SWISS-CalU, SWISS-Landschlacht, TRIEST, USA-BOSTON, UZBEKISTAN","['110000', '111500']"
21,20241103,12:52-12:54,III,"ALGERIA-CRAAG, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, EGYPT-SpaceAgency, GERMANY-DLR, GERMANY-ESSEN, GLASGOW, GREENLAND, HUMAIN, INDIA-OOTY, MEXICO-FCFM-UNACH, NORWAY-EGERSUND, SWISS-CalU, SWISS-HEITERSWIL, SWISS-Landschlacht, TRIEST, USA-BOSTON",['124500']
22,20241103,16:45-16:45,RSP,"GREENLAND, MEXICO-FCFM-UNACH, MEXICO-LANCE",['164500']
23,20241103,17:44-17:50,III,"GREENLAND, MEXICO-FCFM-UNACH, MEXICO-LANCE","['173000', '174500']"
24,20241103,22:45-22:45,III,Australia-ASSA,['224500']
25,20241103,23:43-23:46,III,Australia-ASSA,"['233000', '234500']"
26,20241104,00:56-00:57,III,"Australia-ASSA, TAIWAN-NCU",['004500']
27,20241104,01:08-01:28,VI,Australia-ASSA,"['010000', '011500']"
28,20241104,01:28-01:48,II,Australia-ASSA,"['011500', '013000', '014500']"
29,20241104,01:34-03:17,IV,Australia-ASSA,"['013000', '014500', '020000', '021500', '023000', '024500', '030000', '031500']"
30,20241104,03:14-03.14,III,"Australia-ASSA, INDIA-GAURI",['030000']
31,20241104,03:54-03:54,III,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY, MONGOLIA-UB, SSRT, UZBEKISTAN",['034500']
32,20241104,03:56-03:58,V,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY, INDONESIA, KASI, MONGOLIA-UB, MRT1, Malaysia-Banting, SSRT, TAIWAN-NCU, UZBEKISTAN",['034500']
33,20241104,05:30-05:43,VI,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY, MONGOLIA-UB, SSRT, TAIWAN-NCU",['053000']
34,20241104,07:05-07:06,III,"ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, EGYPT-Alexandria, GERMANY-DLR, HUMAIN, INDIA-GAURI, INDIA-OOTY, NORWAY-EGERSUND, SRI-Lanka, SSRT, (SWISS-CalU), TAIWAN-NCU, TRIEST, UZBEKISTAN",['070000']
35,20241104,08:57-08:58,RSP,"ALMATY, AUSTRIA-Krumbach, AUSTRIA-MICHELBACH, EGYPT-SpaceAgency, FINLAND-Siuntio, GERMANY-DLR, HUMAIN, INDIA-GAURI, MRO, Malaysia-Banting, ROMANIA, SSRT, TRIEST, USA-BOSTON, UZBEKISTAN",['084500']
36,20241104,10:38-10:38,U,"AUSTRIA-Krumbach, AUSTRIA-MICHELBACH, AUSTRIA-OE3FLB, EGYPT-SpaceAgency, FINLAND-Siuntio, GERMANY-DLR, HUMAIN, MRO, MRT1, Malaysia-Banting, ROMANIA, TRIEST, USA-BOSTON, UZBEKISTAN",['103000']
37,20241104,12:56-12:58,III,"BIR, GERMANY-DLR, GERMANY-ESSEN, GLASGOW, HUMAIN, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, TRIEST, USA-BOSTON",['124500']
38,20241104,13:58-13:58,III,"ALGERIA-CRAAG, AUSTRIA-UNIGRAZ, BIR, EGYPT-Alexandria, GERMANY-DLR, GERMANY-ESSEN, GLASGOW, GREENLAND, [HUMAIN], MEXICO-FCFM-UNACH, MEXICO-LANCE, NORWAY-EGERSUND, (SWISS-CalU), SWISS-HEITERSWIL, SWISS-Landschlacht, TRIEST, USA-BOSTON",['134500']
39,20241104,15:31-15:36,III,"GLASGOW, GREENLAND, [HUMAIN], MEXICO-FCFM-UNACH",['153000']
40,20241104,17:20-17:20,III,"(GREENLAND), MEXICO-FCFM-UNACH, MEXICO-LANCE",['171500']
41,20241105,03:22-03:22,III,"Australia-ASSA, INDIA-GAURI, SSRT",['031500']
42,20241105,05:53-05:56,III,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY",['054500']
43,20241105,07:22-07:23,RSP,"HUMAIN, INDIA-GAURI, MONGOLIA-UB",['071500']
44,20241105,09:42-09:43,III,"AUSTRIA-UNIGRAZ, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, NORWAY-EGERSUND, SWISS-CalU, SWISS-Landschlacht, TRIEST",['093000']
45,20241105,11:27-11:29,III,"ALGERIA-CRAAG, GERMANY-DLR, GLASGOW, [HUMAIN], INDIA-GAURI, INDIA-OOTY, NORWAY-EGERSUND, SWISS-CalU, SWISS-Landschlacht, TRIEST, UZBEKISTAN",['111500']
46,20241105,15:26-15:41,II,"GREENLAND, HUMAIN, MEXICO-FCFM-UNACH, MEXICO-LANCE","['151500', '153000']"
47,20241105,19:41-19:42,III,MEXICO-LANCE,['193000']
48,20241106,01:54-01:55,III,"Australia-ASSA, MONGOLIA-UB, SSRT",['014500']
49,20241106,07:52-07:53,III,"Australia-ASSA, HUMAIN, INDIA-GAURI, INDIA-OOTY, SWISS-CalU, SWISS-Landschlacht, TRIEST",['074500']
50,20241106,08:52-08:52,III,"HUMAIN, INDIA-GAURI, INDIA-OOTY, NORWAY-EGERSUND, SWISS-CalU",['084500']
51,20241106,09:31-09:31,III,"(GERMANY-DLR), [(HUMAIN)], INDIA-OOTY, NORWAY-EGERSUND, SWISS-CalU, TRIEST",['093000']
52,20241106,10:49-10:49,III,"GLASGOW, HUMAIN",['104500']
53,20241106,11:50-11:51,III,"GLASGOW, HUMAIN, NORWAY-EGERSUND, TRIEST",['114500']
