,Date,Time,Type,Stations,Time_code
1,20240801,00:09-00:50,VI,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA","['000000', '001500', '003000', '004500']"
2,20240801,01:47-01:51,V,"ALASKA-ANCHORAGE, ALASKA-COHOE, ALASKA-HAARP, ALMATY, Australia-ASSA, INDIA-OOTY, KASI, MONGOLIA-UB, SSRT, TAIWAN-NCU",['014500']
3,20240801,02:49-02:50,III,"ALASKA-COHOE, ALASKA-HAARP, ALMATY, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, MONGOLIA-UB, SSRT, TAIWAN-NCU",['024500']
4,20240801,04:39-04:40,DCIM,"GERMANY-DLR, NORWAY-NY-AALESUND, NORWAY-RANDABERG, USA-BOSTON",['043000']
5,20240801,04:39-04:40,III,"ALASKA-COHOE, ALASKA-HAARP, ALMATY, AUSTRIA-MICHELBACH, AUSTRIA-UNIGRAZ, Australia-ASSA, GERMANY-DLR, HUMAIN, INDIA-GAURI, INDIA-OOTY, MRO, SSRT, TAIWAN-NCU",['043000']
6,20240801,05:55-05:56,III,"Australia-ASSA, GERMANY-DLR, HUMAIN, INDIA-GAURI, INDIA-OOTY, KASI, SSRT, SWISS-CalU, SWISS-Landschlacht",['054500']
7,20240801,06:52-06:52,III,"GERMANY-DLR, *",['064500']
8,20240801,07:01-07:09,III,"ALMATY, AUSTRIA-MICHELBACH, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, Australia-ASSA, BIR, EGYPT-Alexandria, EGYPT-SpaceAgency, GERMANY-DLR, GLASGOW, HUMAIN, HURBANOVO, INDIA-GAURI, INDIA-OOTY, ITALY-Strassolt, KASI, MONGOLIA-UB, MRO, NORWAY-EGERSUND, SSRT, SWISS-CalU, SWISS-HEITERSWIL, SWISS-IRSOL, SWISS-Landschlacht, SWISS-MUHEN, TAIWAN-NCU, TRIEST ",['070000']
9,20240801,07:08-07:53,IV,INDIA-GAURI,"['070000', '071500', '073000', '074500']"
10,20240801,07:12-07:14,II,"ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, BIR, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, MONGOLIA-UB, MRO, NORWAY-EGERSUND, SSRT, SWISS-CalU, SWISS-HEITERSWIL, (SWISS-IRSOL), SWISS-Landschlacht, SWISS-MUHEN, TAIWAN-NCU, TRIEST",['070000']
11,20240801,08:06-08:07,III,"GERMANY-DLR, *",['080000']
12,20240801,11:24-11:28,III,"GLASGOW, *",['111500']
13,20240801,12:13-12:49,VI,"USA-BOSTON, *","['120000', '121500', '123000', '124500']"
14,20240802,00:43-00:45,III,"ALASKA-ANCHORAGE, *","['003000', '004500']"
15,20240802,00:52-00:54,III,"ALASKA-COHOE, *",['004500']
16,20240802,01:49-01:50,III,"ALASKA-HAARP, *",['014500']
