,Date,Time,Type,Stations,Time_code
0,20231101,03:03-03:03,DCIM,"ALMATY, KASI, Malaysia-Banting, SSRT",['030000']
1,20231101,05:34-05:34,RBR,"ALMATY, KASI, INDIA-GAURI?, Malaysia-Banting, SSRT",['053000']
2,20231101,09:29-09:29,III,"ALGERIA-CRAAG, AUSTRIA-Krumbach, EGYPT-Alexandria, FINLAND-Siuntio, GERMANY-DLR, HURBANOVO, INDIA-GAURI, INDIA-OOTY, Malaysia-Banting, ROMANIA, SPAIN-PERALEJOS, SPAIN-SIGUENZA, SWISS-Landschlacht",['091500']
3,20231101,09:56-09:56,III,"AUSTRIA-MICHELBACH, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, NORWAY-EGERSUND, SWISS-Landschlacht",['094500']
4,20231102,00:03-00:04,III,"ALASKA-COHOE, ALASKA-HAARP, KASI, MONGOLIA-UB, Malaysia-Banting",['000000']
5,20231102,03:19-03:22,III,Australia-ASSA,['031500']
6,20231102,03:29-03:30,III,"ALMATY, Australia-ASSA, Malaysia-Banting","['031500', '033000']"
7,20231102,05:06-05:12,III,"Australia-ASSA, (INDIA-OOTY), SRI-Lanka",['050000']
8,20231102,06:18-06:18,III,"ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MONGOLIA-UB, SRI-Lanka, SSRT",['061500']
9,20231102,07:05-07:05,III,"ALMATY, AUSTRIA-MICHELBACH, GERMANY-DLR, HUMAIN, INDIA-GAURI, INDIA-OOTY, KASI, MRT3, Malaysia-Banting, (SSRT), TRIEST",['070000']
10,20231102,07:15-07:19,III,"HUMAIN, INDIA-GAURI, INDIA-OOTY",['071500']
11,20231102,12:06-12:12,III,"AUSTRIA-Krumbach, AUSTRIA-MICHELBACH, AUSTRIA-OE3FLB, FINLAND-Siuntio, GERMANY-DLR, HUMAIN, TRIEST",['120000']
12,20231102,12:21-12:22,III,"ALGERIA-CRAAG, AUSTRIA-Krumbach, AUSTRIA-MICHELBACH, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, BIR, DENMARK, EGYPT-Alexandria, FINLAND-Siuntio, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, HURBANOVO, NORWAY-EGERSUND, ROMANIA, SPAIN-SIGUENZA, SWISS-HEITERSWIL, SWISS-IRSOL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST ",['121500']
13,20231102,12:27-12:38,II,"AUSTRIA-UNIGRAZ, (BIR), (EGYPT-Alexandria), (GERMANY-DLR), GLASGOW, (GREENLAND), HUMAIN, NORWAY-EGERSUND, (SWISS-Landschlacht)","['121500', '123000']"
14,20231102,22:11-22:11,U,"Australia-ASSA, ROSWELL-NM",['220000']
15,20231103,01:42-01:43,III,Australia-ASSA,['013000']
16,20231103,05:00-05:06,III,"Australia-ASSA, INDIA-OOTY, (SSRT)",['050000']
17,20231103,05:45-05:48,RBR,"Australia-ASSA, INDIA-OOTY, (SSRT)",['054500']
18,20231103,07:23-07:25,III,"HUMAIN, INDIA-OOTY",['071500']
19,20231104,01:02-01:02,III,Australia-ASSA,['010000']
20,20231104,01:40-01:43,III,Australia-ASSA,['013000']
21,20231104,05:16-05:17,III,Australia-ASSA,['051500']
22,20231104,05:37-05:38,III,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY, (SSRT)",['053000']
23,20231104,06:50-06:51,III,"Australia-ASSA, HUMAIN, INDIA-GAURI, INDIA-OOTY",['064500']
24,20231104,07:39-07:40,III,(INDIA-OOTY),['073000']
25,20231104,10:47-10:48,III,"AUSTRIA-UNIGRAZ, BIR, DENMARK, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, MRO, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, TRIEST",['104500']
26,20231104,11:15-11:18,III,"AUSTRIA-UNIGRAZ, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, NORWAY-EGERSUND, (SWISS-Landschlacht)",['111500']
27,20231104,12:13-12:25,VI,"AUSTRIA-UNIGRAZ, BIR, DENMARK, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-OOTY, MRO, NORWAY-EGERSUND, (SPAIN-SIGUENZA), SWISS-HEITERSWIL, SWISS-IRSOL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST","['120000', '121500']"
28,20231104,17:11-17:11,RBR,USA-ARIZONA-ERAU,['170000']
29,20231104,21:04-21:04,RBR,"ALASKA-HAARP, Australia-ASSA, MEXART, MEXICO-LANCE, (USA-ARIZONA-ERAU)",['210000']
30,20231104,22:39-22:39,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXART, MEXICO-LANCE, USA-ARIZONA-ERAU",['223000']
31,20231104,22:52-22:53,III,Australia-ASSA,['224500']
32,20231105,09:08-09:09,III,"AUSTRIA-UNIGRAZ, DENMARK, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, (NORWAY-EGERSUND), SWISS-HEITERSWIL, SWISS-Landschlacht, (SWISS-MUHEN), TRIEST",['090000']
33,20231105,09:48-09:49,III,"AUSTRIA-UNIGRAZ, (BIR), DENMARK, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, NORWAY-EGERSUND, SPAIN-PERALEJOS, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST",['094500']
34,20231105,21:18-21:24,III,"Australia-ASSA, MEXICO-LANCE",['211500']
35,20231106,01:17-03:22,VI,Australia-ASSA,"['011500', '013000', '014500', '020000', '021500', '023000', '024500', '030000', '031500']"
36,20231106,02:55-02:56,III,"Australia-ASSA, INDIA-GAURI",['024500']
