,Date,Time,Type,Stations,Time_code
0,20230901,02:35-02:36,III,"ALASKA-ANCHORAGE, ALASKA-COHOE, ALASKA-HAARP, ALMATY, Australia-ASSA, INDIA-OOTY, SSRT",['023000']
1,20230901,03:03-03:28,VI,"Australia-ASSA, INDIA-OOTY, SSRT","['030000', '031500']"
2,20230901,03:08-03:43,IV,"Australia-ASSA, INDIA-OOTY, SSRT","['030000', '031500', '033000']"
3,20230901,03:08-03:16,II,"(ALASKA-ANCHORAGE), ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA","['030000', '031500']"
4,20230901,03:21-03:23,II,"ALASKA-ANCHORAGE, ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA",['031500']
5,20230901,04:20-04:22,III,"Australia-ASSA, INDIA-OOTY, SSRT",['041500']
6,20230901,05:45-05:48,III,"ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, DENMARK, GERMANY-DLR, HUMAIN, INDIA-OOTY, MRO, Malaysia-Banting, NORWAY-EGERSUND, SSRT, SWISS-HEITERSWIL, SWISS-IRSOL, SWISS-Landschlacht",['054500']
7,20230901,06:29-06:30,III,"AUSTRIA-UNIGRAZ, Australia-ASSA, DENMARK, GERMANY-DLR, NORWAY-EGERSUND, SSRT, SWISS-Landschlacht","['061500', '063000']"
8,20230901,06:57-06:57,III,"AUSTRIA-UNIGRAZ, Australia-ASSA, DENMARK, GERMANY-DLR, (GLASGOW), HUMAIN, INDIA-OOTY, MRO, NORWAY-EGERSUND, SSRT, SWISS-HEITERSWIL, SWISS-Landschlacht, (SWISS-MUHEN)",['064500']
9,20230901,22:19-22:24,III,"ALASKA-ANCHORAGE, ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, (ROSWELL-NM), USA-ARIZONA-ERAU",['221500']
10,20230902,03:51-03:51,III,"INDIA-GAURI, INDIA-OOTY, KASI, Malaysia-Banting, SSRT",['034500']
11,20230902,07:08-07:12,RBR,NASA,['070000']
12,20230902,07:16-07:19,II,"INDIA-GAURI, INDIA-OOTY",['071500']
13,20230902,10:44-10:44,III,"GREENLAND, HUMAIN",['103000']
14,20230902,11:18-11:18,III,"GLASGOW, GREENLAND, (HUMAIN)",['111500']
15,20230902,19:55-19:55,III,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND",['194500']
16,20230902,20:38-20:39,III,"ALASKA-COHOE, ALASKA-HAARP, (GREENLAND)",['203000']
17,20230902,21:07-21:08,III,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXICO-FCFM-UANL, USA-ARIZONA-ERAU",['210000']
18,20230903,00:16-00:20,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, Malaysia-Banting, SSRT",['001500']
19,20230903,01:38-01:39,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA",['013000']
20,20230903,03:17-03:19,III,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY, SSRT",['031500']
21,20230903,03:58-04:09,VI,"ALMATY, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, SSRT","['034500', '040000']"
22,20230903,05:17-05:39,VI,"Australia-ASSA, HUMAIN, INDIA-GAURI, INDIA-OOTY, NORWAY-EGERSUND, SSRT","['051500', '053000']"
23,20230903,05:34-06:05,IV,"HUMAIN, INDIA-GAURI, INDIA-OOTY, Malaysia-Banting, NORWAY-EGERSUND, SSRT","['053000', '054500', '060000']"
24,20230903,17:42-17:42,III,GREENLAND,['173000']
25,20230903,19:16-19:18,III,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND",['191500']
26,20230904,01:01-01:03,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, SSRT",['010000']
27,20230904,20:38-20:39,III,"ALASKA-COHOE, ALASKA-HAARP, (ROSWELL-NM)",['203000']
28,20230905,02:53-02:53,III,Australia-ASSA,['024500']
29,20230905,08:10-08:10,III,GERMANY-DLR,['080000']
