,Date,Time,Type,Stations,Time_code
0,20230701,05:20-05:21,U,e-Callisto,['051500']
1,20230701,07:23-07:24,III,e-Callisto,['071500']
2,20230701,10:27-10:27,III,e-Callisto,['101500']
3,20230701,11:06-11:08,III,e-Callisto,['110000']
4,20230701,11:37-11:41,III,e-Callisto,['113000']
5,20230701,12:54-12:55,III,e-Callisto,['124500']
6,20230701,13:42-13:43,III,e-Callisto,['133000']
7,20230701,13:53-13:54,III,e-Callisto,['134500']
8,20230701,14:10-14:11,III,e-Callisto,['140000']
9,20230701,22:16-22:18,III,e-Callisto,['221500']
10,20230702,00:16-00:17,III,"ALASKA-COHOE, ALASKA-HAARP",['001500']
11,20230702,02:32-02:34,III,"ALASKA-COHOE, ALASKA-HAARP, ALMATY, Australia-ASSA, INDIA-GAURI, INDIA-UDAIPUR, KASI, MONGOLIA-UB, SSRT",['023000']
12,20230702,02:34-02:42,II,"ALASKA-COHOE, ALASKA-HAARP, ALMATY, Australia-ASSA, FINLAND-Siuntio, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, KASI, MONGOLIA-UB, MRO, Malaysia-Banting, SSRT",['023000']
13,20230702,07:24-07:25,III,"GERMANY-DLR, INDIA-GAURI",['071500']
14,20230702,12:32-12:33,III,"Arecibo-Observatory, GERMANY-DLR, GLASGOW",['123000']
15,20230702,23:44-23:44,III,"ALASKA-COHOE, Australia-ASSA, MEXART, MEXICO-LANCE",['233000']
16,20230703,01:12-01:13,III,"ALASKA-COHOE, Australia-ASSA",['010000']
17,20230703,01:33-01:34,III,"ALASKA-COHOE, ALMATY, Australia-ASSA, SSRT",['013000']
18,20230703,02:16-02:16,III,"ALASKA-COHOE, Australia-ASSA, SSRT",['021500']
19,20230703,12:28-12:29,III,"Arecibo-Observatory, GERMANY-DLR, GLASGOW",['121500']
20,20230703,12:31-12:32,III,"ALGERIA-CRAAG, AUSTRIA-Krumbach, AUSTRIA-MICHELBACH, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, Arecibo-Observatory, (BIR), EGYPT-Alexandria, GERMANY-DLR, GLASGOW, HUMAIN, HURBANOVO, INDIA-OOTY, INDIA-UDAIPUR, MEXART, MRO, (MRT1), NORWAY-EGERSUND, SPAIN-PERALEJOS, SWISS-HEITERSWIL, SWISS-IRSOL, SWISS-MUHEN, TRIEST",['123000']
21,20230703,12:46-12:46,III,"Arecibo-Observatory, GERMANY-DLR, GLASGOW",['124500']
