,Date,Time,Type,Stations,Time_code
0,20230301,00:03-05:03,CTM,Australia-ASSA,"['000000', '001500', '003000', '004500', '010000', '011500', '013000', '014500', '020000', '021500', '023000', '024500', '030000', '031500', '033000', '034500', '040000', '041500', '043000', '044500', '050000']"
1,20230301,01:38-01:39,V,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, INDIA-OOTY, INDONESIA, (KASI), MONGOLIA-UB, Malaysia-Banting, SSRT, THAILAND-BKK",['013000']
2,20230301,04:15-04:16,III,"ALMATY, INDIA-OOTY, INDIA-UDAIPUR, INDONESIA, MONGOLIA-UB, Malaysia-Banting, (SRI-Lanka), SSRT",['041500']
3,20230301,11:43-11:43,III,"ALGERIA-CRAAG, AUSTRIA-UNIGRAZ, (Arecibo-Observatory), GERMANY-DLR, GLASGOW, HUMAIN, INDIA-UDAIPUR, NORWAY-EGERSUND, SWISS-Landschlacht, (SWISS-MUHEN)",['113000']
4,20230301,13:15-13:15,III,GLASGOW,['131500']
5,20230301,13:45-13:58,VI,"Arecibo-Observatory, GERMANY-DLR, GLASGOW, HUMAIN, NORWAY-EGERSUND, SWISS-Landschlacht",['134500']
6,20230301,13:56-15:57,CTM,"Arecibo-Observatory, GLASGOW, HUMAIN, (SWISS-Landschlacht)","['134500', '140000', '141500', '143000', '144500', '150000', '151500', '153000', '154500']"
7,20230301,15:29-15:34,III,"Arecibo-Observatory, GERMANY-DLR, GLASGOW, HUMAIN","['151500', '153000']"
8,20230301,18:05-18:05,III,Arecibo-Observatory,['180000']
9,20230301,18:24-18:24,III,"Arecibo-Observatory, MEXICO-LANCE",['181500']
10,20230301,19:09-19:09,III,"Arecibo-Observatory, MEXICO-LANCE",['190000']
11,20230301,19:15-19:16,III,"Arecibo-Observatory, MEXICO-LANCE",['191500']
12,20230301,22:30-22:33,III,"ALASKA-COHOE, ALASKA-HAARP, MEXICO-LANCE",['223000']
13,20230301,23:22-23:22,III,"ALASKA-COHOE, ALASKA-HAARP",['231500']
14,20230302,00:02-08:54,CTM,"Australia-ASSA, SSRT","['000000', '001500', '003000', '004500', '010000', '011500', '013000', '014500', '020000', '021500', '023000', '024500', '030000', '031500', '033000', '034500', '040000', '041500', '043000', '044500', '050000', '051500', '053000', '054500', '060000', '061500', '063000', '064500', '070000', '071500', '073000', '074500', '080000', '081500', '083000', '084500']"
15,20230302,06:31-06:32,III,"AUSTRIA-UNIGRAZ, HUMAIN, INDIA-OOTY, INDIA-UDAIPUR, SSRT",['063000']
16,20230302,16:16-16:17,III,"HUMAIN, MEXICO-LANCE",['161500']
17,20230302,17:10-18:40+,CTM,"Arecibo-Observatory, MEXICO-LANCE","['170000', '171500', '173000', '174500', '180000', '181500', '183000']"
18,20230302,17:40-17:41,III,"Arecibo-Observatory, MEXICO-LANCE",['173000']
19,20230302,19:18-19:18,III,"Arecibo-Observatory, USA-ARIZONA-ERAU",['191500']
20,20230302,21:07-21:11,III,"ALASKA-COHOE, ALASKA-HAARP, MEXICO-LANCE",['210000']
21,20230302,21:33-22:52,CTM,MEXICO-LANCE,"['213000', '214500', '220000', '221500', '223000', '224500']"
22,20230302,23:01-23:01,RBR,ALASKA-ANCHORAGE,['230000']
23,20230303,01:37-01:37,III,Australia-ASSA,['013000']
24,20230303,02:17-02:18,III,Australia-ASSA,['021500']
25,20230303,03:17-03:19,III,"ALMATY, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MONGOLIA-UB, Malaysia-Banting, SRI-Lanka, SSRT",['031500']
26,20230303,03:55-03:57,III,Australia-ASSA,['034500']
27,20230303,04:11-04:11,III,Australia-ASSA,['040000']
28,20230303,04:48-04:55,III,"ALMATY, Australia-ASSA, INDIA-OOTY, INDIA-UDAIPUR, MONGOLIA-UB, SSRT",['044500']
29,20230303,05:52-05:53,III,Australia-ASSA,['054500']
30,20230303,06:30-06:32,III,"ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, (INDIA-GAURI), INDIA-OOTY, INDIA-UDAIPUR, MONGOLIA-UB, Malaysia-Banting, SSRT",['063000']
31,20230303,11:05-11:56,CTM,GLASGOW,"['110000', '111500', '113000', '114500']"
32,20230303,12:03-12:04,III,"AUSTRIA-UNIGRAZ, Arecibo-Observatory, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, INDIA-OOTY, INDIA-UDAIPUR, NORWAY-EGERSUND, (SWISS-IRSOL), SWISS-Landschlacht, SWISS-MUHEN, TRIEST",['120000']
33,20230303,14:40-14:42,RBR,"GLASGOW, HUMAIN, NORWAY-EGERSUND",['143000']
34,20230303,14:47-15:12,VI,"Arecibo-Observatory, GLASGOW, (MEXICO-LANCE)","['144500', '150000']"
35,20230303,17:51-18:00,III,"Arecibo-Observatory, MEXICO-LANCE","['174500', '180000']"
36,20230303,18:01-18:25,II,"Arecibo-Observatory, MEXICO-LANCE, (USA-ARIZONA-ERAU)","['180000', '181500']"
37,20230303,18:09-19:10,IV,"Arecibo-Observatory, MEXICO-LANCE","['180000', '181500', '183000', '184500', '190000']"
38,20230303,19:49-19:52,III,"ALASKA-COHOE, ALASKA-HAARP, Arecibo-Observatory, MEXICO-LANCE, ROSWELL-NM ",['194500']
39,20230304,02:20-02:22,III,"Australia-ASSA, SSRT, USA-ARIZONA-ERAU",['021500']
40,20230304,02:30-02:32,III,"Australia-ASSA, SSRT",['023000']
41,20230304,03:36-03:36,RBR,"Australia-ASSA, INDIA-OOTY, SSRT",['033000']
42,20230304,03:44-03:45,RBR,Australia-ASSA,"['033000', '034500']"
43,20230304,03:59-04:07,III,"ALMATY, Australia-ASSA, INDIA-OOTY, MONGOLIA-UB, SSRT","['034500', '040000']"
44,20230304,04:56-05:00,III,"ALMATY, Australia-ASSA, INDIA-OOTY, Malaysia-Banting, MRT1, SSRT","['044500', '050000']"
45,20230304,06:33-06:34,III,"ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, HUMAIN, INDIA-OOTY, SSRT",['063000']
46,20230304,07:09-07:11,III,"ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, GERMANY-DLR, HUMAIN, INDIA-OOTY, MONGOLIA-UB, MRO, Malaysia-Banting, NORWAY-EGERSUND, SRI-Lanka, SSRT, SWISS-IRSOL, SWISS-Landschlacht, TRIEST",['070000']
47,20230304,07:19-07:34,VI,"Australia-ASSA, (GERMANY-DLR), HUMAIN, INDIA-OOTY, MRO, Malaysia-Banting, SSRT, TRIEST","['071500', '073000']"
48,20230304,08:28-08:28,III,"GERMANY-DLR, INDIA-OOTY",['081500']
49,20230304,08:40-08:43,III,"GERMANY-DLR, HUMAIN, INDIA-OOTY",['083000']
50,20230304,12:21-12:21,III,"AUSTRIA-UNIGRAZ, (Arecibo-Observatory), GERMANY-DLR, GLASGOW, HUMAIN, NORWAY-EGERSUND, SWISS-Landschlacht",['121500']
51,20230304,13:05-13:05,III,"AUSTRIA-UNIGRAZ, Arecibo-Observatory, GERMANY-DLR, GLASGOW, NORWAY-EGERSUND, SWISS-Landschlacht, TRIEST",['130000']
52,20230304,14:38-14:40,III,"AUSTRIA-UNIGRAZ, Arecibo-Observatory, BIR, GERMANY-DLR, GLASGOW, HUMAIN, HURBANOVO, MEXICO-LANCE, MRO, NORWAY-EGERSUND, SPAIN-PERALEJOS, SPAIN-SIGUENZA, SWISS-IRSOL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST, USA-ARIZONA-ERAU",['143000']
53,20230304,15:31-15:35,II,"AUSTRIA-UNIGRAZ, Arecibo-Observatory, (BIR), GERMANY-DLR, GLASGOW, (HUMAIN), MEXICO-LANCE, SWISS-Landschlacht, SWISS-MUHEN",['153000']
54,20230304,15:36-16:55,IV,"Arecibo-Observatory, GLASGOW, MEXICO-LANCE, ROSWELL-NM","['153000', '154500', '160000', '161500', '163000', '164500']"
55,20230304,18:42-18:44,III,"Arecibo-Observatory, MEXICO-LANCE, USA-ARIZONA-ERAU",['183000']
56,20230304,19:05-19:43,VI,MEXICO-LANCE,"['190000', '191500', '193000']"
57,20230304,22:32-22:32,III,"ALASKA-HAARP, Australia-ASSA, MEXICO-LANCE, USA-ARIZONA-ERAU",['223000']
58,20230305,01:16-01:19,III,"Australia-ASSA, SSRT",['011500']
59,20230305,02:46-02:56,VI,"Australia-ASSA, INDIA-OOTY, SSRT",['024500']
60,20230305,05:45-05:46,III,"(Australia-ASSA), SSRT",['054500']
61,20230305,07:40-07:41,III,"AUSTRIA-UNIGRAZ, Australia-ASSA, GERMANY-DLR, INDIA-OOTY, NORWAY-EGERSUND, SSRT, SWISS-Landschlacht",['073000']
62,20230305,09:00-09:01,III,"GERMANY-DLR, GLASGOW, INDIA-OOTY, (NORWAY-EGERSUND), (SWISS-Landschlacht)",['090000']
63,20230305,09:43-09:44,III,"AUSTRIA-UNIGRAZ, GERMANY-DLR, GLASGOW, INDIA-OOTY, NORWAY-EGERSUND, SSRT, SWISS-Landschlacht",['093000']
64,20230305,13:18-13:27,III,GLASGOW,['131500']
65,20230305,15:51-15:54,III,"Arecibo-Observatory, GLASGOW, MEXICO-LANCE",['154500']
66,20230305,16:30-16:30,III,"Arecibo-Observatory, (USA-ARIZONA-ERAU)",['163000']
67,20230306,02:32-02:55,IV,SSRT,"['023000', '024500']"
68,20230306,10:33-10:33,III,"GLASGOW, HUMAIN, NORWAY-EGERSUND",['103000']
69,20230306,14:35-14:38,III,GLASGOW,['143000']
70,20230306,19:00-10:02,III,"ALASKA-COHOE, ALASKA-HAARP, Arecibo-Observatory, MEXICO-LANCE, USA-ARIZONA-ERAU",[]
71,20230306,23:19-23:19,III,"ALASKA-HAARP, (MEXICO-LANCE)",['231500']
72,20230307,00:15-01:06,VI,Australia-ASSA,"['001500', '003000', '004500', '010000']"
73,20230307,01.24-02:20,CTM,Australia-ASSA,"['011500', '013000', '014500', '020000', '021500']"
74,20230307,03:32-03:33,III,"ALMATY, Australia-ASSA, INDIA-OOTY, INDONESIA, MONGOLIA-UB, SSRT",['033000']
75,20230308,11:41-11:42,RBR,"ALGERIA-CRAAG, MRO, MRT1, TRIEST",['113000']
76,20230308,12:22-12:25,III,GLASGOW,['121500']
77,20230308,16:25-16:27,III,"Arecibo-Observatory, (GERMANY-DLR), GLASGOW, HUMAIN, MEXICO-LANCE, USA-ARIZONA-ERAU",['161500']
78,20230309,01:05-01:05,III,Australia-ASSA,['010000']
79,20230309,23:26-23:34,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXICO-LANCE, (USA-ARIZONA-ERAU)","['231500', '233000']"
80,20230310,13:16-13:17,III,"ALGERIA-CRAAG, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, Arecibo-Observatory, BIR, EGYPT-Alexandria, GLASGOW, HUMAIN, MRO, NORWAY-EGERSUND, SWISS-Landschlacht, SWISS-MUHEN",['131500']
81,20230311,15:51-15:51,III,"Arecibo-Observatory, GLASGOW, MEXICO-LANCE",['154500']
82,20230311,23:53-23:53,III,"ALASKA-HAARP, Australia-ASSA",['234500']
83,20230312,02:48-02:50,III,"Australia-ASSA, SSRT",['024500']
84,20230312,06:33-06:33,III,"Australia-ASSA, INDIA-OOTY, SSRT",['063000']
85,20230312,16:00-16:01,III,Arecibo-Observatory,['160000']
86,20230312,19:28-19:31,III,"ALASKA-COHOE, ALASKA-HAARP, Arecibo-Observatory, MEXICO-LANCE, (USA-ARIZONA-ERAU)","['191500', '193000']"
87,20230313,03:21-03:31,II,"Australia-ASSA, (INDIA-OOTY), SSRT","['031500', '033000']"
88,20230313,03:35-04:04,CTM,Australia-ASSA,"['033000', '034500', '040000']"
89,20230313,04:37-04:37,III,Australia-ASSA,['043000']
90,20230313,05:17-05:25,III,"Australia-ASSA, INDIA-OOTY, SSRT",['051500']
91,20230313,05:39-05:39,III,"Australia-ASSA, INDIA-OOTY, SSRT",['053000']
92,20230313,08:23-08:23,III,"AUSTRIA-UNIGRAZ, Australia-ASSA, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-OOTY, NORWAY-EGERSUND, SRI-Lanka, SSRT, SWISS-Landschlacht, TRIEST",['081500']
93,20230313,15:20-15:21,III,"Arecibo-Observatory, GLASGOW, MEXICO-LANCE",['151500']
94,20230313,15:32-15:33,III,"Arecibo-Observatory, MEXICO-LANCE",['153000']
95,20230313,23:56-23:57,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXICO-LANCE",['234500']
96,20230314,03:25-03:28,III,"Australia-ASSA, (INDIA-OOTY), SSRT",['031500']
97,20230314,06:29-06:30,III,SSRT,"['061500', '063000']"
98,20230314,15:07-15:08,III,Arecibo-Observatory,['150000']
99,20230314,16:16-16:17,III,Arecibo-Observatory,['161500']
100,20230315,00:01-00:01,III,Australia-ASSA,['000000']
101,20230315,01:03.01:04,III,Australia-ASSA,[]
102,20230315,03:26-03:27,III,Australia-ASSA,['031500']
103,20230315,07:29-07:29,III,"Australia-ASSA, GERMANY-DLR, INDIA-OOTY, (SSRT)",['071500']
104,20230315,14:10-14:13,III,"Arecibo-Observatory, GERMANY-DLR, (HUMAIN), NORWAY-EGERSUND, SWISS-Landschlacht",['140000']
105,20230315,14:28-14:30,III,"Arecibo-Observatory, GERMANY-DLR, HUMAIN, NORWAY-EGERSUND, SWISS-Landschlacht","['141500', '143000']"
106,20230315,16:08-16:09,III,Arecibo-Observatory,['160000']
107,20230315,18:38-18:39,III,Arecibo-Observatory,['183000']
108,20230315,22:07-22:14,III,"ALASKA-COHOE, (Australia-ASSA), MEXICO-LANCE, (USA-ARIZONA-ERAU)",['220000']
109,20230316,01:43-01:45,III,Australia-ASSA,"['013000', '014500']"
110,20230316,04.15-04.15,III,Australia-ASSA,['041500']
111,20230316,10:16-10:20,III,GLASGOW,['101500']
112,20230316,16:40-16:41,III,"GLASGOW, MEXICO-LANCE",['163000']
113,20230317,01:50-01:51,III,Australia-ASSA,['014500']
114,20230317,04:27-04:27,III,"Australia-ASSA, (SSRT)",['041500']
