,Date,Time,Type,Stations,Time_code
0,20230201,05:58-05:58,III,Australia-ASSA,['054500']
1,20230201,08:03-08:03,III,"ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, (INDONESIA), SSRT",['080000']
2,20230202,03:01-03:01,III,Australia-ASSA,['030000']
3,20230202,16:24-16:24,III,Arecibo-Observatory,['161500']
4,20230203,12:32-12:32,III,"AUSTRIA-UNIGRAZ, Arecibo-Observatory, BIR, GLASGOW, HUMAIN, (NORWAY-EGERSUND), SWISS-Landschlacht, (TRIEST) ",['123000']
5,20230203,14:41-14:41,III,Arecibo-Observatory,['143000']
6,20230203,14:43-15:45,V?,"(AUSTRIA-UNIGRAZ), Arecibo-Observatory, BIR, (GERMANY-DLR), GLASGOW, HUMAIN, MEXICO-LANCE, SWISS-Landschlacht","['143000', '144500', '150000', '151500', '153000', '154500']"
7,20230203,14:49-14:49,III,"AUSTRIA-UNIGRAZ, Arecibo-Observatory, BIR, HUMAIN",['144500']
8,20230203,15:36-15:36,III,"Arecibo-Observatory, (BIR), GLASGOW",['153000']
9,20230203,16:02-16:02,III,"Arecibo-Observatory, GLASGOW, HUMAIN",['160000']
10,20230203,17:43-17:43,III,"Arecibo-Observatory, MEXICO-LANCE, USA-ARIZONA-ERAU",['173000']
11,20230203,18:42-18:42,III,"Arecibo-Observatory, (MEXICO-LANCE), (ROSWELL-NM), (USA-ARIZONA-ERAU)",['183000']
12,20230203,23:39-23:39,III,"Australia-ASSA, MEXICO-LANCE",['233000']
13,20230203,23:47-23:47,III,"Australia-ASSA, MEXICO-LANCE, (ROSWELL-NM), USA-ARIZONA-ERAU",['234500']
14,20230204,01:28-01:49,VI,Australia-ASSA,"['011500', '013000', '014500']"
15,20230204,01:57-01:58,III,"Australia-ASSA, (SSRT)",['014500']
16,20230204,02:09-02:11,III,Australia-ASSA,['020000']
17,20230204,02:25-02:26,III,"Australia-ASSA, (SSRT)",['021500']
18,20230204,03:01-03:01,III,"Australia-ASSA, SSRT",['030000']
19,20230204,05:08-05:16,III,"ALMATY, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MONGOLIA-UB, SSRT","['050000', '051500']"
20,20230204,06:42-06:43,III,"ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, SSRT",['063000']
