Two-Digit-Code,Station Name,Frequency Range
01,MONGOLIA-UB,45 MHz-870 MHz
59,MRT,45 MHz-870 MHz
59,MRT1,45 MHz-870 MHz
59,MRT2,45 MHz-870 MHz
59,MRT3,45 MHz-870 MHz
59,MRTU,45 MHz-870 MHz
59,MRTV,45 MHz-870 MHz
59,MRO,45 MHz-870 MHz
60,MRO,0.8 GHz-1.5 GHz
59,MY_INST,45 MHz-870 MHz
01,NEPAL,45 MHz-870 MHz
59,NEWZEALAND-AUT,45 MHz-870 MHz
01,NORWAY-EGERSUND,16 MHz - 90 MHz
01,NORWAY-NY-AALESUND,1000 MHz-1600 MHz
01,NORWAY-RANDABERG,1000 MHz-1600 MHz
59,Obs_SanIsidro,45 MHz-870 MHz
59,OE3FLB,45 MHz-870 MHz
59,oe3flb,45 MHz-870 MHz
59,OOTY,45 MHz-870 MHz
58,OOTY,45 MHz-870 MHz
59,OSRA,45 MHz-870 MHz
01,PARAGUAY,45 MHz-165 MHz
01,PERALEJOS,17 MHz-88 MHz
02,PERALEJOS,17 MHz-88 MHz
03,PERALEJOS,45 MHz-870 MHz
59,PERTH,45 MHz-870 MHz
03,POLAND-Grotniki,5 MHz - 53 MHz
01,PuertoRico-Arecibo,10 MHz-90MHz
59,PUNE,120 MHz-870 MHz
59,RCAG,45 MHz-870 MHz
01,ROMANIA,45 MHz-150 MHz
59,ROSWELL-NM,45 MHz-870 MHz
58,ROSWELL-NM,< 100 MHz
57,ROSWELL-NM,200 MHz- 400 MHz
59,ROZTOKY,45 MHz-870 MHz
01,RWANDA,45 MHz-450 MHz
59,SanIsidro,45 MHz-870 MHz
59,SANSA,45 MHz-870 MHz
59,SKYMAP,980 MHz-1260 MHz
59,SOUTHAFRICA-SANSA,45 MHz-870 MHz
03,SPAIN-ALCALA,45 MHz-870 MHz
03,SPAIN-PERALEJOS,45 MHz-870 MHz
02,SPAIN-SIGUENZA,5 MHz - 55 MHz
59,SRI-Lanka,45 MHz-450 MHz
59,STS,175MHz-870 MHz
59,SSRT,45 MHz-870 MHz
58,SWISS-BLEN5M,45 MHz-870 MHz
58,SWISS-BLEN5M,~2-3 GHz
59,SWISS-BLEN5M,1580-1650 MHz
02,SWISS-BLEN5M,450 MHz-770 MHz
01,SWISS-BLEN7M,450 MHz-770 MHz
59,SWISS-BLENSW,20 MHz - 90 MHz
01,SWISS-BLENSW,8 MHz - 80 MHz
02,SWISS-BLENSW,20 MHz - 80 MHz
60,SWISS-BLENSW,8 MHz - 80 MHz
59,SWISS-HB9SCT,45 MHz-870 MHz
60,SWISS-HB9SCT,5 MHz-90 MHz
01,SWISS-HB9SCT,980-1600 MHz
02,SWISS-HB9SCT,10 MHz-82 MHz
??,SWISS-Calu,10 MHz-82 MHz
59,SWISS-HEITERSWIL,45 MHz-80 MHz
03,SWISS-IRIDIUM,1600-1660 MHz
01,SWISS-IRSOL,45 MHz-870 MHz
01,SWISS-Landschlacht,16 MHz - 87 MHz
02,SWISS-Landschlacht,45 MHz - 150 MHz
62,SWISS-Landschlacht,16 MHz - 87 MHz
63,SWISS-Landschlacht,45 MHz - 150 MHz
63,SWISS-MUHEN,15 MHz-90 MHz
62,SWISS-MUHEN,15 MHz-90 MHz
03,SWISS-MUHEN,45 MHz-870 MHz
58,SWISS-ZURICH,1400-1450 MHz
59,SWMC,45 MHz-170 MHz
62,THAILAND-Pathumthani,45 MHz-870 MHz
59,TAIWAN-NCU,45 MHz-82 MHz
57,TRIEST,45 MHz-80 MHz
59,TRIEST,220 MHz-450 MHz
60,TRIEST,900 MHz-1700 MHz
59,TURIN_IT,45 MHz-80 MHz
01,TURKEY,250 MHz-775 MHz
59,UNAM,45 MHz-870 MHz
01,URUGUAY,45 MHZ-870 MHz
01,USA-KROC,45 MHz-870 MHz
01,USA-ERAU,150 MHz-430 MHz
01,USA-ARIZONA-ERAU,10 MHz - 70 MHz
01,USA-BOSTON,1000 MHz - 1600 MHz
02,USA-BOSTON,45 MHz - 870 MHz
01,UZBEKISTAN,45 MHz - 420 MHz
59,WattwilKanti,45 MHz-80MHz
59,WH6DNU,45 MHz-870 MHz
58,ZSTS,175MHz-870 MHz
